mood,job,need_size,event,response
stressed,event manager,large,meeting,"I would like to request a large order of high-quality paper supplies for an upcoming event. We need 500 reams of A4 paper, 300 reams of letter-sized paper, and 200 reams of cardstock. Please ensure the delivery is made by April 15, 2025. Thank you."
pissed off,school board resouorce manager,large,meeting,"I need to order 10 reams of standard copy paper, 5 reams of cardstock, and 3 boxes of assorted colored paper. I need the order delivered by April 10, 2025, for an upcoming meeting."
miserable,event manager,small,festival,"I would like to place an order for 500 sheets of high-quality cardstock in various colors, 200 sheets of standard printer paper, and 1000 flyers printed in full color. I need these supplies delivered by April 15, 2025, to ensure everything is ready for the festival. Thank you."
pissed off,restaurant manager,small,concert,"I need to order 1000 sheets of high-quality A4 paper and 500 sheets of cardstock for printing concert materials. I need these supplies delivered by April 10, 2025."
pissed off,school board resouorce manager,large,assembly,"I need to order 500 sheets of A4 paper, 300 sheets of colored paper, and 200 sheets of cardstock for the assembly. Please deliver the supplies by April 15, 2025."
stressed,retail store manager,small,assembly,"We need to order 500 sheets of A4 white paper and 300 sheets of colored paper for our assembly event. Please ensure delivery by April 15, 2025. Thank you."
happy,restaurant manager,small,performance,"I would like to order 500 sheets of high-quality A4 paper, 300 sheets of cardstock, and 200 sheets of colored paper for our upcoming performance. We need the supplies delivered by April 15, 2025."
stressed,restaurant manager,medium,party,"I would like to place a medium order for paper supplies, including 500 dinner napkins, 300 paper plates, and 200 disposable cups. I need the supplies delivered by April 20, 2025, for our upcoming party. Thank you."
miserable,law firm receptionist,small,show,"I would like to request the following paper supplies for our upcoming event:

- 500 sheets of A4 glossy paper
- 300 sheets of A4 cardstock
- 200 sheets of A3 paper

We need these supplies delivered by April 15, 2025."
sad,non-profit director,medium,exhibition,"I would like to place an order for 500 sheets of A3 matte paper, 300 sheets of A4 glossy paper, and 200 sheets of A5 uncoated paper for our upcoming exhibition. Please deliver these supplies by April 15, 2025."
happy,business owner,medium,show,"Dear [Manufacturer's Name],

I would like to place an order for the following paper supplies for our upcoming show:

- Quantity: 1000 sheets of A4 glossy paper
- Quantity: 500 sheets of A3 matte paper
- Quantity: 2000 sheets of A5 recycled paper
- Additional: 10 reams of standard copy paper

We will need these supplies delivered by April 15, 2025. 

Thank you."
sad,school teacher,medium,celebration,"I would like to place a medium order for the following paper supplies for our upcoming celebration:  

- 200 sheets of colorful cardstock  
- 500 sheets of standard printer paper  
- 300 sheets of decorative wrapping paper  
- 100 paper plates  
- 100 paper cups  

Please deliver these supplies by April 15, 2025. Thank you."
miserable,school teacher,small,concert,"I would like to order 500 sheets of A4 paper, 200 sheets of cardstock, and 100 packs of envelopes. I need these supplies delivered by April 15, 2025, in time for the concert. Thank you."
sad,school teacher,large,reception,"Dear [Manufacturer's Name],

I hope this message finds you well. I would like to place a large order for paper supplies for an upcoming reception. 

We need the following items:
- 1000 sheets of A4 printing paper
- 500 sheets of glossy photo paper
- 200 table covers made of recyclable paper
- 300 paper napkins

The materials are needed by April 15, 2025, to ensure we have everything prepared for the event.

Thank you for your assistance.

Best regards,
[Your Name]"
happy,school board resouorce manager,small,parade,"I would like to order 500 sheets of colorful poster paper, 200 rolls of crepe paper, and 100 packs of glitter paper for the parade event. I need the supplies delivered by April 15, 2025."
pissed off,school principal,small,ceremony,"I would like to place an order for 500 sheets of high-quality white cardstock and 1000 sheets of colored printer paper for our upcoming ceremony. Please ensure delivery by April 15, 2025. Thank you."
pissed off,non-profit director,small,celebration,"I would like to place a small order for 500 sheets of high-quality cardstock in various colors, along with 200 sheets of recycled paper. Additionally, I need 100 pack of environmentally friendly paper cups and 100 paper plates for the event. Please ensure that the order is delivered by April 15, 2025."
happy,city hall clerk,small,conference,"I would like to place an order for 500 sheets of A4 printer paper, 300 sheets of letterhead paper, and 200 sheets of colored cardstock. I need these supplies delivered by April 15, 2025, in time for our conference. Thank you!"
stressed,event manager,large,festival,"We need to order 10,000 sheets of 100 lb cover stock and 20,000 sheets of 24 lb bond paper for our festival. Please have these supplies delivered by April 15, 2025. Thank you."
happy,business owner,small,party,"I would like to place an order for the following paper supplies for the party: 

- 100 sheets of colored cardstock (assorted colors)
- 200 sheets of plain white printer paper
- 50 paper plates (biodegradable if possible)
- 50 paper cups (biodegradable if possible)
- 100 paper napkins (decorative design)

I need these supplies delivered by April 15, 2025. Thank you!"
stressed,school board resouorce manager,small,gathering,"I would like to order 500 sheets of white cardstock, 300 sheets of colored paper, and 200 envelopes. I need the order delivered by April 10, 2025, for an upcoming gathering."
sad,city hall clerk,large,meeting,"I would like to place a large order for 500 reams of standard printer paper (8.5 x 11 inches) and 200 reams of cardstock (8.5 x 11 inches) for an upcoming meeting. Please ensure delivery by April 15, 2025. Thank you."
pissed off,office manager,small,gathering,"I would like to place an order for 500 sheets of A4 printer paper, 300 sheets of letter-sized paper, and 100 sheets of heavy cardstock. I need the supplies delivered by April 10th, 2025, for an event I'm organizing."
stressed,business owner,large,reception,"Dear [Manufacturer's Name],

I would like to place a large order for paper supplies for our upcoming reception. We need the following items:

- 500 sheets of A4 white paper
- 300 sheets of A3 colored paper (assorted colors)
- 200 sheets of cardstock (heavyweight white)
- 100 envelopes (C5 size, white)

Please confirm that you can deliver these supplies by April 15, 2025.

Thank you.

Best regards,
[Your Name]  
[Your Position]  
[Your Company]  
[Your Contact Information]"
pissed off,school teacher,small,performance,"I would like to order 500 sheets of A4 white paper and 100 rolls of colored craft paper for our upcoming performance. I need these supplies delivered by April 15, 2025."
